method,query_id,bleu,rouge1,rouge2,rougeL,snort_score,total_time
baseline,1,0.0259,0.2222,0.0465,0.2222,1,4.28
baseline,2,0.0169,0.2373,0.1053,0.2373,1,3.84
baseline,3,0.0,0.0,0.0,0.0,0,4.04
baseline,4,0.0,0.1143,0.0606,0.1143,0,4.03
baseline,5,0.0,0.0,0.0,0.0,0,4.11
rag_classic,1,0.0427,0.2927,0.1538,0.2927,2,26.23
rag_classic,2,0.0465,0.3077,0.0541,0.3077,2,26.735
rag_classic,3,0.0264,0.3158,0.1111,0.3158,2,25.519
rag_classic,4,0.0201,0.2903,0.1,0.2903,2,34.131
rag_classic,5,0.0103,0.3077,0.08,0.2692,2,30.673
rag_rerank,1,0.0987,0.2899,0.1493,0.2609,2,32.572
rag_rerank,2,0.1613,0.28,0.1667,0.28,3,30.482
rag_rerank,3,0.17,0.5357,0.1481,0.3929,2,30.265
rag_rerank,4,0.1363,0.4898,0.3404,0.4898,3,32.594
rag_rerank,5,0.0112,0.3158,0.0364,0.2105,2,33.49
rag_hybrid,1,0.1855,0.3404,0.2222,0.3404,2,26.224
rag_hybrid,2,0.0195,0.2222,0.0588,0.2222,2,25.957
rag_hybrid,3,0.1175,0.2059,0.1212,0.2059,2,29.97
rag_hybrid,4,0.0133,0.1972,0.0,0.169,2,33.328
rag_hybrid,5,0.0109,0.3019,0.0392,0.2264,2,31.892
multi_hop,1,0.1602,0.4138,0.1786,0.3793,4,61.297
multi_hop,2,0.1445,0.5641,0.3243,0.5641,2,60.808
multi_hop,3,0.1895,0.3404,0.1333,0.2979,3,58.082
multi_hop,4,0.2194,0.4906,0.3529,0.4906,4,67.299
multi_hop,5,0.2867,0.5,0.32,0.4615,4,66.721
graph_rag,1,0.1538,0.4,0.3158,0.4,2,30.871
graph_rag,2,0.051,0.4103,0.1622,0.359,2,37.031
graph_rag,3,0.0592,0.1429,0.0976,0.1429,2,26.92
graph_rag,4,0.0526,0.5417,0.3478,0.4167,3,24.931
graph_rag,5,0.0097,0.3736,0.1573,0.2857,2,53.653
agentic_rag,1,0.1538,0.3902,0.3077,0.3902,2,89.766
agentic_rag,2,0.0177,0.3939,0.0937,0.2424,2,108.082
agentic_rag,3,0.1086,0.2414,0.1071,0.2069,2,94.358
agentic_rag,4,0.0258,0.4364,0.2642,0.4364,4,89.339
agentic_rag,5,0.0452,0.4,0.1053,0.3,1,120.279
